codice_regione,data,deceduti,denominazione_regione,dimessi_guariti,isolamento_domiciliare,lat,long,note_en,note_it,nuovi_positivi,ricoverati_con_sintomi,stato,tamponi,terapia_intensiva,totale_casi,totale_ospedalizzati,totale_positivi,variazione_totale_positivi
4,2020-03-18T17:00:00,9,P.A. Bolzano,1,269,46.49933453,11.35662422,,,85,79,ITA,2844,18,376,97,366,84
18,2020-03-18T17:00:00,1,Calabria,2,70,38.90597598,16.59440194,,,15,45,ITA,1668,11,129,56,126,14
15,2020-03-18T17:00:00,9,Campania,28,272,40.83956555,14.25084984,nd-EN-0013,nd-IT-0013,0,127,ITA,2685,24,460,151,423,0
8,2020-03-18T17:00:00,458,Emilia-Romagna,152,1884,44.49436681,11.3417208,nd-EN-0011,nd-IT-0011,594,1784,ITA,15461,247,4525,2031,3915,511
6,2020-03-18T17:00:00,31,Friuli Venezia Giulia,15,261,45.6494354,13.76813649,,,68,128,ITA,4958,27,462,155,416,69
12,2020-03-18T17:00:00,32,Lazio,42,232,41.89277044,12.48366722,,,117,374,ITA,11145,44,724,418,650,100
7,2020-03-18T17:00:00,73,Liguria,70,243,44.41149315,8.9326992,,,109,401,ITA,2912,100,887,501,744,83
3,2020-03-18T17:00:00,1959,Lombardia,3488,4057,45.46679409,9.190347404,,,1493,7285,ITA,48983,924,17713,8209,12266,171
11,2020-03-18T17:00:00,92,Marche,0,719,43.61675973,13.5188753,,,197,638,ITA,4109,119,1568,757,1476,174
14,2020-03-18T17:00:00,1,Molise,6,8,41.55774754,14.65916051,,,3,7,ITA,361,6,28,13,21,2
1,2020-03-18T17:00:00,154,Piemonte,0,180,45.0732745,7.680687483,,,444,1780,ITA,7516,227,2341,2007,2187,423
16,2020-03-18T17:00:00,19,Puglia,2,176,41.12559576,16.86736689,,,43,156,ITA,3433,30,383,186,362,42
20,2020-03-18T17:00:00,2,Sardegna,0,83,39.21531192,9.110616306,,,17,42,ITA,1135,7,134,49,132,17
19,2020-03-18T17:00:00,3,Sicilia,12,138,38.11569725,13.3623567,,,45,100,ITA,3294,29,282,129,267,41
9,2020-03-18T17:00:00,22,Toscana,17,704,43.76923077,11.25588885,,,277,427,ITA,7606,160,1330,587,1291,267
4,2020-03-18T17:00:00,7,P.A. Trento,12,273,46.06893511,11.12123097,,,70,141,ITA,2187,22,455,163,436,68
10,2020-03-18T17:00:00,2,Umbria,4,166,43.10675841,12.38824698,,,50,54,ITA,1601,21,247,75,241,49
2,2020-03-18T17:00:00,3,Valle d'Aosta,0,118,45.73750286,7.320149366,,,29,41,ITA,486,3,165,44,162,28
5,2020-03-18T17:00:00,94,Veneto,167,2112,45.43490485,12.33845213,,,510,646,ITA,40841,195,3214,841,2953,465
13,2020-03-19T17:00:00,11,Abruzzo,8,138,42.35122196,13.39843823,,,122,181,ITA,2409,47,385,228,366,117
17,2020-03-19T17:00:00,0,Basilicata,0,24,40.63947052,15.80514834,,,10,8,ITA,353,5,37,13,37,10
4,2020-03-19T17:00:00,14,P.A. Bolzano,1,316,46.49933453,11.35662422,,,60,87,ITA,3568,18,436,105,421,55
18,2020-03-19T17:00:00,3,Calabria,2,91,38.90597598,16.59440194,,,40,60,ITA,2342,13,169,73,164,38
15,2020-03-19T17:00:00,17,Campania,30,356,40.83956555,14.25084984,,,192,213,ITA,3544,36,652,249,605,182
8,2020-03-19T17:00:00,531,Emilia-Romagna,177,2346,44.49436681,11.3417208,,,689,1900,ITA,18344,260,5214,2160,4506,591
6,2020-03-19T17:00:00,36,Friuli Venezia Giulia,41,359,45.6494354,13.76813649,,,137,134,ITA,4052,29,599,163,522,106
12,2020-03-19T17:00:00,38,Lazio,44,270,41.89277044,12.48366722,,,99,426,ITA,11145,45,823,471,741,91
7,2020-03-19T17:00:00,91,Liguria,85,280,44.41149315,8.9326992,,,172,491,ITA,3348,112,1059,603,883,139
3,2020-03-19T17:00:00,2168,Lombardia,3778,5545,45.46679409,9.190347404,,,2171,7387,ITA,52244,1006,19884,8393,13938,1672
11,2020-03-19T17:00:00,115,Marche,0,825,43.61675973,13.5188753,,,169,656,ITA,4512,141,1737,797,1622,146
14,2020-03-19T17:00:00,2,Molise,6,13,41.55774754,14.65916051,,,18,19,ITA,426,6,46,25,38,17
1,2020-03-19T17:00:00,175,Piemonte,3,218,45.0732745,7.680687483,,,591,2279,ITA,8853,257,2932,2536,2754,567
16,2020-03-19T17:00:00,25,Puglia,4,245,41.12559576,16.86736689,,,95,173,ITA,4046,31,478,204,449,87
20,2020-03-19T17:00:00,2,Sardegna,0,152,39.21531192,9.110616306,,,72,43,ITA,1334,9,206,52,204,72
19,2020-03-19T17:00:00,4,Sicilia,15,142,38.11569725,13.3623567,,,58,143,ITA,3961,36,340,179,321,54
9,2020-03-19T17:00:00,38,Toscana,22,743,43.76923077,11.25588885,,,152,501,ITA,8873,178,1482,679,1422,131
4,2020-03-19T17:00:00,12,P.A. Trento,20,292,46.06893511,11.12123097,,,68,169,ITA,2203,30,523,199,491,55
10,2020-03-19T17:00:00,2,Umbria,4,238,43.10675841,12.38824698,,,87,69,ITA,1954,21,334,90,328,87
2,2020-03-19T17:00:00,6,Valle d'Aosta,0,153,45.73750286,7.320149366,,,50,47,ITA,608,9,215,56,209,47
5,2020-03-19T17:00:00,115,Veneto,200,2189,45.43490485,12.33845213,,,270,771,ITA,44658,209,3484,980,3169,216
13,2020-03-20T17:00:00,17,Abruzzo,10,184,42.35122196,13.39843823,,,64,190,ITA,2695,48,449,238,422,56
17,2020-03-20T17:00:00,0,Basilicata,0,39,40.63947052,15.80514834,,,15,8,ITA,443,5,52,13,52,15
4,2020-03-20T17:00:00,17,P.A. Bolzano,1,407,46.49933453,11.35662422,,,112,99,ITA,4433,24,548,123,530,109
18,2020-03-20T17:00:00,4,Calabria,2,114,38.90597598,16.59440194,,,38,71,ITA,2690,16,207,87,201,37
15,2020-03-20T17:00:00,17,Campania,30,531,40.83956555,14.25084984,,,97,130,ITA,3845,41,749,171,702,97
8,2020-03-20T17:00:00,640,Emilia-Romagna,239,2739,44.49436681,11.3417208,,,754,2083,ITA,20753,267,5968,2350,5089,583
6,2020-03-20T17:00:00,38,Friuli Venezia Giulia,63,380,45.6494354,13.76813649,,,57,143,ITA,4964,32,656,175,555,33
12,2020-03-20T17:00:00,43,Lazio,53,328,41.89277044,12.48366722,,,185,537,ITA,13889,47,1008,584,912,171
7,2020-03-20T17:00:00,119,Liguria,101,307,44.41149315,8.9326992,,,162,573,ITA,3794,121,1221,694,1001,118
3,2020-03-20T17:00:00,2549,Lombardia,4295,6635,45.46679409,9.190347404,,,2380,7735,ITA,57174,1050,22264,8785,15420,1482
11,2020-03-20T17:00:00,137,Marche,0,1002,43.61675973,13.5188753,,,244,704,ITA,5170,138,1981,842,1844,222
14,2020-03-20T17:00:00,5,Molise,6,13,41.55774754,14.65916051,,,4,20,ITA,426,6,50,26,39,1
1,2020-03-20T17:00:00,209,Piemonte,8,1423,45.0732745,7.680687483,,,529,1541,ITA,9975,280,3461,1821,3244,490
16,2020-03-20T17:00:00,26,Puglia,4,329,41.12559576,16.86736689,,,103,191,ITA,4789,31,581,222,551,102
20,2020-03-20T17:00:00,2,Sardegna,3,217,39.21531192,9.110616306,,,87,56,ITA,1912,15,293,71,288,84
19,2020-03-20T17:00:00,4,Sicilia,25,169,38.11569725,13.3623567,,,68,168,ITA,4468,42,408,210,379,58
9,2020-03-20T17:00:00,47,Toscana,33,923,43.76923077,11.25588885,,,311,601,ITA,10405,189,1793,790,1713,291
4,2020-03-20T17:00:00,13,P.A. Trento,29,368,46.06893511,11.12123097,,,119,198,ITA,2656,34,642,232,600,109
10,2020-03-20T17:00:00,7,Umbria,4,285,43.10675841,12.38824698,,,61,75,ITA,2303,24,395,99,384,56
2,2020-03-20T17:00:00,7,Valle d'Aosta,0,194,45.73750286,7.320149366,,,49,54,ITA,814,9,264,63,257,48
5,2020-03-20T17:00:00,131,Veneto,223,2598,45.43490485,12.33845213,,,547,843,ITA,49288,236,4031,1079,3677,508
13,2020-03-21T17:00:00,22,Abruzzo,13,265,42.35122196,13.39843823,,,80,185,ITA,3035,44,529,229,494,72
17,2020-03-21T17:00:00,0,Basilicata,0,47,40.63947052,15.80514834,,,14,12,ITA,522,7,66,19,66,14
4,2020-03-21T17:00:00,20,P.A. Bolzano,1,443,46.49933453,11.35662422,,,73,127,ITA,5179,30,621,157,600,70
18,2020-03-21T17:00:00,5,Calabria,5,136,38.90597598,16.59440194,,,28,73,ITA,3050,16,235,89,225,24
15,2020-03-21T17:00:00,22,Campania,29,473,40.83956555,14.25084984,,,95,233,ITA,4448,87,844,320,793,91
8,2020-03-21T17:00:00,715,Emilia-Romagna,329,3129,44.49436681,11.3417208,,,737,2267,ITA,24620,265,6705,2532,5661,572
6,2020-03-21T17:00:00,42,Friuli Venezia Giulia,82,477,45.6494354,13.76813649,,,134,152,ITA,5955,37,790,189,666,111
